age,gender,icu_experience,cpr_skill,language_level,previous_score,region,score,decision
37,Female,1,3,B1,95,West,1.6049370060100852,Fail
40,Male,5,1,A1,94,West,4.158408341803093,Pass
39,Female,4,0,A1,53,East,3.552821360424115,Pass
37,Female,2,1,A1,63,West,1.5624848953367432,Fail
29,Male,5,0,B1,63,South,0.2285056945642694,Fail
54,Female,7,1,A1,65,West,6.46316426390369,Pass
33,Male,8,3,B1,56,North,3.0549565901424023,Fail
32,Male,0,3,B1,81,West,0.5967304615723805,Fail
26,Male,2,1,A1,68,East,5.097583862667852,Pass
48,Male,2,0,B1,51,North,2.5851175351124067,Fail
33,Male,7,2,C1,59,North,3.8998601521160268,Pass
38,Male,0,3,A1,99,North,0.1434786731948987,Fail
27,Female,4,3,A1,66,East,4.395608116426441,Pass
54,Female,2,2,B1,86,South,8.083037211039493,Pass
26,Female,1,1,B1,61,West,3.176015327757079,Fail
49,Female,7,0,A1,55,North,3.917176992585129,Pass
35,Male,2,1,C1,71,North,3.307185592972192,Fail
26,Female,6,4,B1,81,North,3.1587693336629146,Fail
54,Female,0,3,B1,90,South,1.274698540813703,Fail
40,Female,5,4,C1,69,South,2.634109031527567,Fail
43,Male,2,3,C1,50,East,0.8001000892262464,Fail
26,Female,7,3,A1,96,South,3.435110268447965,Pass
23,Male,5,4,C1,55,West,2.4107856155021627,Fail
51,Female,1,4,A1,68,East,1.6306309823317375,Fail
25,Male,5,1,C1,67,East,2.1596439368398004,Fail
54,Male,6,4,B1,55,West,3.9110237140194015,Pass
34,Female,4,1,A1,94,West,2.967586036415691,Fail
41,Male,2,1,A1,82,West,2.3647249070234064,Fail
28,Male,3,1,A1,72,East,5.224595126688965,Pass
36,Female,3,3,C1,72,East,2.733468477433023,Fail
44,Female,5,3,B1,75,East,7.646781985601562,Pass
35,Female,9,4,A1,62,West,5.135379079645223,Pass
44,Male,0,3,A1,56,West,0.5454808182343253,Fail
40,Male,3,4,A1,64,North,5.359166478093998,Pass
50,Male,9,3,A1,93,South,4.5359454645836035,Pass
41,Female,3,0,B1,76,North,-2.7473683034682574,Fail
50,Male,9,0,C1,75,West,3.816993716329632,Pass
45,Male,0,4,B1,82,East,1.5316483241120846,Fail
39,Male,8,3,A1,64,West,7.17309477257667,Pass
31,Male,3,3,B1,85,South,0.9798666299992662,Fail
29,Male,6,1,A1,94,North,2.744690363843455,Fail
47,Male,2,2,C1,76,North,4.675278752120917,Pass
50,Male,9,4,C1,54,East,5.09881706544836,Pass
31,Female,2,2,C1,51,North,1.422086350053732,Fail
38,Female,7,2,A1,82,North,2.217028667053932,Fail
23,Female,7,4,B1,65,West,4.578491453750062,Pass
27,Male,0,3,C1,72,North,1.6213977135634623,Fail
26,Male,9,4,A1,87,North,3.269341469585605,Fail
49,Female,1,2,A1,65,North,0.24330691734426968,Fail
26,Male,7,3,B1,63,East,2.016055771109836,Fail
39,Female,0,0,C1,78,East,-0.8151112275277592,Fail
47,Male,7,4,A1,75,West,5.8930675199446725,Pass
41,Male,7,4,B1,84,North,5.758786717240876,Pass
48,Female,1,3,C1,64,East,3.731348912771586,Pass
33,Female,3,0,B1,52,East,1.6889990975370488,Fail
28,Female,5,0,B1,72,West,2.094742424399687,Fail
24,Female,8,3,A1,78,South,3.721235780217327,Pass
31,Female,7,1,A1,83,North,5.587203145812216,Pass
55,Male,7,4,A1,82,East,0.48970435600834294,Fail
46,Male,6,4,B1,90,West,2.921027793285155,Fail
56,Male,8,2,A1,90,West,2.3753087449911656,Fail
37,Female,1,3,B1,72,West,4.699775093176816,Pass
23,Female,2,2,B1,56,East,0.8850849531057634,Fail
45,Female,9,2,A1,52,North,0.6080223291204514,Fail
31,Female,7,0,C1,81,South,3.7618472844935797,Pass
59,Female,5,4,C1,80,North,2.759771610212172,Fail
43,Female,9,2,C1,67,West,2.9911423846300758,Fail
47,Male,8,0,B1,92,West,2.4599360865483444,Fail
48,Male,9,3,B1,56,South,2.7410304416783857,Fail
50,Male,3,2,B1,90,North,4.06712062971329,Pass
59,Male,7,4,A1,50,West,4.097574733115687,Pass
41,Male,9,2,B1,63,West,3.6490684887389415,Pass
48,Female,2,3,A1,81,North,0.21852224630732753,Fail
41,Female,2,2,A1,55,West,1.4872133532241585,Fail
40,Female,7,4,C1,88,North,4.741255715200053,Pass
41,Female,4,0,C1,59,West,2.6823088965189807,Fail
56,Female,2,4,C1,56,North,2.561768765983538,Fail
23,Female,9,0,A1,75,South,1.9798146663449432,Fail
51,Male,0,1,A1,83,West,-3.3613531851840386,Fail
55,Female,2,4,A1,79,South,6.184237520103867,Pass
43,Female,8,4,B1,85,West,1.855726251782937,Fail
24,Female,4,3,A1,70,West,-1.0799159173338766,Fail
27,Female,9,2,C1,66,East,4.351031226008192,Pass
36,Male,1,0,C1,82,North,-1.8870370064614417,Fail
48,Male,6,0,A1,59,South,1.075402502850229,Fail
31,Female,1,3,A1,96,South,3.4377008516176564,Pass
30,Male,3,3,C1,91,South,6.410374536948092,Pass
54,Male,6,2,A1,61,North,3.8900236165447533,Pass
53,Female,3,2,C1,65,East,1.3966814582462395,Fail
27,Female,6,4,B1,90,South,3.847160891186316,Pass
57,Female,6,1,C1,81,North,-0.40217191434980526,Fail
23,Female,0,2,B1,64,West,0.4584957816696996,Fail
50,Female,5,3,A1,76,South,2.3404367921461118,Fail
25,Male,8,2,A1,77,South,4.26165732427436,Pass
22,Female,1,0,B1,66,East,5.174379225387542,Pass
40,Female,2,1,A1,95,South,-1.648590577464478,Fail
47,Female,9,4,B1,99,South,4.169644776851026,Pass
46,Male,4,0,A1,51,West,-1.7020190879836918,Fail
31,Female,8,0,C1,85,North,2.6682718134989836,Fail
36,Female,3,1,A1,99,North,0.855795717764013,Fail
43,Female,0,4,C1,56,East,-1.3486926150028,Fail
42,Male,3,3,C1,62,West,4.2561840610595585,Pass
43,Female,5,4,B1,64,North,3.771295407700859,Pass
57,Female,4,2,A1,74,West,4.3017112593080915,Pass
55,Female,0,0,B1,72,North,0.016692350665010958,Fail
51,Male,3,2,A1,71,West,2.2235670484398344,Fail
46,Female,5,3,C1,75,East,6.414281282432629,Pass
49,Female,9,2,C1,82,South,4.324559609781775,Pass
22,Female,9,4,A1,60,East,6.015913098318883,Pass
25,Male,3,2,A1,59,North,0.9500873945665416,Fail
28,Female,8,3,B1,74,East,5.5420346867285195,Pass
30,Female,4,3,A1,86,South,1.9921612803893969,Fail
57,Female,7,3,A1,97,East,0.3621552478806551,Fail
40,Male,8,4,A1,92,North,4.5648342241579165,Pass
22,Male,9,3,B1,87,North,3.6643937147920758,Pass
31,Female,4,0,A1,90,East,-0.6995627187945246,Fail
57,Male,5,3,C1,94,South,3.8929857033463477,Pass
30,Male,0,2,B1,73,East,-0.292052969906643,Fail
53,Male,6,2,B1,89,South,9.720282556925364,Pass
53,Female,3,2,C1,95,West,-0.2038844668273354,Fail
27,Female,1,4,C1,82,South,-0.09584988490027913,Fail
59,Male,4,2,C1,66,West,4.329102213295581,Pass
38,Male,2,4,A1,73,East,2.2289562387198223,Fail
31,Male,5,4,C1,86,South,5.288404618524436,Pass
48,Female,7,3,A1,51,West,4.225782107795801,Pass
56,Female,6,0,B1,81,West,1.8503857441376357,Fail
42,Male,2,3,B1,73,West,-0.46318478615926395,Fail
46,Male,7,3,C1,58,North,5.712166161456064,Pass
49,Male,1,4,A1,53,East,-0.6819003711785991,Fail
36,Male,9,4,C1,66,West,5.607811922328322,Pass
25,Female,8,2,C1,66,South,5.627997514513697,Pass
50,Male,3,2,A1,99,West,2.531164391940078,Fail
30,Female,0,3,C1,97,North,1.4467049286243936,Fail
48,Male,7,1,B1,79,East,1.51754779067796,Fail
47,Male,6,1,C1,89,North,4.260485433408603,Pass
40,Male,4,2,A1,60,North,-3.591857662163224,Fail
49,Male,9,1,A1,70,North,5.381452678113621,Pass
38,Male,4,2,B1,70,South,2.8889526819514284,Fail
